date,bank_rate,instant_access_deposit_rate,time_deposit_rate,instant_access_quoted_rate,cpi_annual_rate,real_rate_time_deposits,real_rate_instant_access,loyalty_gap
1989-01-01,,,,,4.9,,,
1989-02-01,,,,,5.0,,,
1989-03-01,,,,,5.0,,,
1989-04-01,,,,,5.3,,,
1989-05-01,,,,,5.3,,,
1989-06-01,,,,,5.2,,,
1989-07-01,,,,,5.2,,,
1989-08-01,,,,,5.0,,,
1989-09-01,,,,,5.2,,,
1989-10-01,,,,,5.5,,,
1989-11-01,,,,,5.5,,,
1989-12-01,,,,,5.5,,,
1990-01-01,,,,,5.7,,,
1990-02-01,,,,,5.9,,,
1990-03-01,,,,,6.0,,,
1990-04-01,,,,,6.4,,,
1990-05-01,,,,,6.8,,,
1990-06-01,,,,,6.9,,,
1990-07-01,,,,,6.8,,,
1990-08-01,,,,,7.7,,,
1990-09-01,,,,,8.1,,,
1990-10-01,,,,,8.1,,,
1990-11-01,,,,,7.8,,,
1990-12-01,,,,,7.6,,,
1991-01-01,,,,,7.1,,,
1991-02-01,,,,,7.0,,,
1991-03-01,,,,,6.9,,,
1991-04-01,,,,,8.4,,,
1991-05-01,,,,,8.2,,,
1991-06-01,,,,,8.4,,,
1991-07-01,,,,,8.3,,,
1991-08-01,,,,,7.9,,,
1991-09-01,,,,,7.1,,,
1991-10-01,,,,,6.8,,,
1991-11-01,,,,,7.1,,,
1991-12-01,,,,,7.2,,,
1992-01-01,,,,,7.0,,,
1992-02-01,,,,,6.9,,,
1992-03-01,,,,,7.1,,,
1992-04-01,,,,,4.7,,,
1992-05-01,,,,,4.3,,,
1992-06-01,,,,,3.8,,,
1992-07-01,,,,,3.6,,,
1992-08-01,,,,,3.0,,,
1992-09-01,,,,,3.0,,,
1992-10-01,,,,,2.9,,,
1992-11-01,,,,,2.6,,,
1992-12-01,,,,,2.6,,,
1993-01-01,,,,,2.2,,,
1993-02-01,,,,,2.4,,,
1993-03-01,,,,,2.5,,,
1993-04-01,,,,,2.5,,,
1993-05-01,,,,,2.5,,,
1993-06-01,,,,,2.4,,,
1993-07-01,,,,,2.6,,,
1993-08-01,,,,,2.9,,,
1993-09-01,,,,,3.1,,,
1993-10-01,,,,,2.6,,,
1993-11-01,,,,,2.3,,,
1993-12-01,,,,,2.4,,,
1994-01-01,,,,,2.7,,,
1994-02-01,,,,,2.5,,,
1994-03-01,,,,,2.2,,,
1994-04-01,,,,,2.0,,,
1994-05-01,,,,,2.0,,,
1994-06-01,,,,,2.0,,,
1994-07-01,,,,,1.7,,,
1994-08-01,,,,,1.9,,,
1994-09-01,,,,,1.5,,,
1994-10-01,,,,,1.5,,,
1994-11-01,,,,,1.8,,,
1994-12-01,,,,,2.0,,,
1995-01-01,,,,,2.4,,,
1995-02-01,,,,,2.4,,,
1995-03-01,,,,,2.6,,,
1995-04-01,,,,,2.3,,,
1995-05-01,,,,,2.5,,,
1995-06-01,,,,,2.6,,,
1995-07-01,,,,,2.7,,,
1995-08-01,,,,,2.6,,,
1995-09-01,,,,,3.0,,,
1995-10-01,,,,,2.9,,,
1995-11-01,,,,,2.8,,,
1995-12-01,,,,,3.0,,,
1996-01-01,,,,,2.6,,,
1996-02-01,,,,,2.7,,,
1996-03-01,,,,,2.6,,,
1996-04-01,,,,,2.5,,,
1996-05-01,,,,,2.3,,,
1996-06-01,,,,,2.3,,,
1996-07-01,,,,,2.2,,,
1996-08-01,,,,,2.3,,,
1996-09-01,,,,,2.3,,,
1996-10-01,,,,,2.5,,,
1996-11-01,,,,,2.6,,,
1996-12-01,,,,,2.3,,,
1997-01-01,,,,,2.1,,,
1997-02-01,,,,,1.9,,,
1997-03-01,,,,,1.7,,,
1997-04-01,,,,,1.6,,,
1997-05-01,,,,,1.6,,,
1997-06-01,,,,,1.7,,,
1997-07-01,,,,,2.0,,,
1997-08-01,,,,,2.0,,,
1997-09-01,,,,,1.8,,,
1997-10-01,,,,,1.9,,,
1997-11-01,,,,,1.9,,,
1997-12-01,,,,,1.7,,,
1998-01-01,,,,,1.5,,,
1998-02-01,,,,,1.6,,,
1998-03-01,,,,,1.7,,,
1998-04-01,,,,,1.8,,,
1998-05-01,,,,,2.0,,,
1998-06-01,,,,,1.7,,,
